place_overall,first_name,last_name,nationality,club,time_full,gender,split_5k,split_10k,split_15k,split_20k,time_half,split_25k,split_30k,split_35k,split_40k,Race,year
1,Raymond,Kipkoech,KEN,Kenia,02:06:47,M,00:15:14,00:30:13,00:45:16,01:00:23,01:03:39,01:15:08,01:30:05,01:45:17,02:00:17,Berlin,2002
2,Simon,Biwott,KEN,Kenia,02:06:49,M,00:15:14,00:30:13,00:45:15,01:00:22,01:03:40,01:15:08,01:30:05,01:45:18,02:00:17,Berlin,2002
3,Vincent,Kipsos,KEN,Kenia,02:06:52,M,00:15:16,00:30:14,00:45:16,01:00:24,01:03:40,01:15:15,01:30:06,01:45:17,02:00:16,Berlin,2002
4,Boniface,Usisivu,KEN,Kenia,02:07:50,M,00:15:13,00:30:13,00:45:16,01:00:24,01:03:39,01:15:09,01:30:05,01:45:17,02:00:45,Berlin,2002
5,Jimmy,Muindi,KEN,Kenia,02:08:25,M,00:15:14,00:30:11,00:45:14,01:00:23,01:03:40,01:15:08,01:30:06,01:45:19,02:01:16,Berlin,2002
6,Kazuhiro,Matsuda,JPN,Japan,02:10:31,M,00:15:12,00:30:12,00:45:14,01:00:23,01:03:39,01:15:18,01:31:03,01:47:08,02:03:23,Berlin,2002
7,Jose Ernani,Palalia,MEX,Mexiko,02:10:39,M,00:15:21,00:30:55,00:46:22,01:01:59,01:05:24,01:17:16,01:32:51,01:48:22,02:03:59,Berlin,2002
8,Moses,Tanui,KEN,Kenia,02:10:40,M,00:15:44,00:31:03,00:46:16,01:01:40,01:05:01,01:16:51,01:32:19,01:48:06,02:03:56,Berlin,2002
9,Elijah,Mutai,KEN,Kenia,02:10:41,M,00:15:14,00:30:12,00:45:16,01:00:22,01:03:40,01:15:19,01:31:23,01:47:35,02:03:49,Berlin,2002
10,Mark,Yatich,KEN,Kenia,02:10:55,M,00:15:24,00:30:15,00:45:16,01:00:24,01:03:41,01:15:35,01:31:23,01:47:35,02:03:49,Berlin,2002
11,Ezael,Thlobo,RSA,Südafrika,02:11:08,M,00:15:20,00:30:15,00:45:18,01:00:55,01:04:21,01:16:33,01:32:27,01:48:22,02:04:13,Berlin,2002
12,Oscar,Fernandez,ESP,Spanien,02:11:11,M,00:15:12,00:30:11,00:45:13,01:00:22,01:03:37,01:15:19,01:31:30,01:47:57,02:04:08,Berlin,2002
13,Joseph,Kahugu,KEN,Kenia,02:11:20,M,00:15:15,00:30:15,00:45:16,01:00:24,01:03:48,01:15:50,01:31:45,01:47:57,02:04:08,Berlin,2002
14,Alberto,Chaica,POR,Portugal,02:12:02,M,00:15:20,00:30:54,00:46:22,01:01:59,01:05:23,01:17:33,01:33:32,01:49:18,02:05:11,Berlin,2002
15,Hailu,Negussie,ETH,Äthiopien,02:12:27,M,00:15:21,00:30:55,00:46:23,01:02:00,01:05:24,01:17:33,01:33:26,01:49:16,02:05:08,Berlin,2002
16,Ronaldo da,Costa,BRA,Brasilien,02:12:52,M,00:15:20,00:30:54,00:46:22,01:01:58,01:05:24,01:17:33,01:33:32,01:49:27,02:05:34,Berlin,2002
17,Nestor,Garcia,URU,Uruguay,02:13:10,M,00:15:20,00:30:54,00:46:22,01:01:58,01:05:24,01:17:33,01:33:32,01:49:31,02:05:54,Berlin,2002
18,Domingos,Castro,POR,Portugal,02:13:23,M,00:15:21,00:30:54,00:46:22,01:01:59,01:05:24,01:17:33,01:33:32,01:50:03,02:06:21,Berlin,2002
19,Shinichi,Watanabe,JPN,Japan,02:13:25,M,00:15:14,00:30:14,00:45:21,01:01:07,01:04:36,01:16:58,01:33:16,01:49:37,02:06:09,Berlin,2002
20,Joseph,Ngolepus,KEN,Kenia,02:14:36,M,00:15:13,00:30:13,00:45:15,01:00:22,01:03:39,01:15:07,01:30:05,01:45:28,02:04:06,Berlin,2002
21,Neo,Molema,RSA,Südafrika,02:14:49,M,00:15:22,00:30:55,00:46:24,01:01:59,01:05:24,01:17:34,01:33:32,01:49:54,02:07:11,Berlin,2002
22,Mitsuhiro,Anjyo,JPN,Japan,02:14:52,M,00:15:15,00:30:16,00:45:18,01:00:54,01:04:22,01:16:51,01:33:19,01:50:14,02:07:17,Berlin,2002
23,Martin,Beckmann,GER,LG Leinfelden,02:16:07,M,00:15:44,00:31:41,00:47:23,01:03:29,01:07:00,01:19:23,01:35:35,01:52:10,02:08:59,Berlin,2002
24,Gabriel,Garin,ESP,Spanien,02:16:09,M,00:16:06,00:32:31,00:48:41,01:04:51,01:08:25,11:41:53,01:37:00,01:53:10,02:09:07,Berlin,2002
25,Nobuhiko,Chiba,JPN,Japan,02:16:50,M,00:15:13,00:30:13,00:45:16,01:00:26,01:03:53,01:16:34,01:33:33,01:51:26,02:09:15,Berlin,2002
26,Muneyuki,Ojima,JPN,Japan,02:17:04,M,00:15:13,00:30:12,00:45:15,01:00:33,01:04:01,01:16:45,01:33:56,01:51:42,02:09:27,Berlin,2002
27,Uli,Steidl,GER,SSC Hanau-Rodenbach,02:17:12,M,00:15:45,00:31:42,00:47:24,01:03:29,01:06:59,01:19:24,01:35:36,01:52:09,02:09:18,Berlin,2002
28,Diego,Colorado,COL,Kolumbien,02:17:51,M,00:15:21,00:30:54,00:46:23,01:02:01,01:05:32,01:18:09,01:35:05,01:52:21,02:10:01,Berlin,2002
29,Tadayuki,Ojima,JPN,Japan,02:18:11,M,00:15:13,00:30:11,00:45:14,01:00:24,01:03:42,01:15:41,01:32:13,01:50:23,02:10:03,Berlin,2002
30,Steffen,Benecke,GER,TSG Bergedorf,02:18:20,M,00:16:06,00:32:32,00:48:58,01:05:43,01:09:20,01:22:07,01:38:40,01:55:04,02:11:14,Berlin,2002
31,Roman,Weger,AUT,Östereich,02:18:21,M,00:16:12,00:32:33,00:48:59,01:05:44,01:09:20,01:22:04,01:38:40,01:55:03,02:11:15,Berlin,2002
32,Maximilian,Bahn,GER,LG Bonn/Troisdorf,02:18:24,M,00:16:06,00:32:31,00:48:59,01:05:43,01:09:19,01:22:06,01:38:40,01:55:04,02:11:14,Berlin,2002
33,Jason,Mayeroff,USA,USA,02:18:27,M,00:16:04,00:32:22,00:48:58,01:05:44,01:09:20,01:22:06,01:38:41,01:55:05,02:11:15,Berlin,2002
34,Allesio,Rinaldi,ITA,Italien,02:19:27,M,00:15:47,00:31:41,00:47:28,01:03:43,01:07:20,01:20:07,01:37:01,01:54:14,02:11:42,Berlin,2002
35,Katsumi,Asada,JPN,Japan,02:21:05,M,00:16:34,00:33:27,00:50:08,01:07:00,01:10:37,01:23:38,01:40:19,01:57:13,02:13:51,Berlin,2002
36,John,Kpngeno,KEN,Kenia,02:21:11,M,00:15:14,00:30:13,00:45:18,01:00:49,01:04:21,01:16:45,01:33:20,01:50:38,02:11:58,Berlin,2002
37,Stefan,Groß,GER,LG Bonn/Troisdorf,02:21:29,M,00:16:05,00:32:31,00:48:58,01:05:43,01:09:20,01:22:07,01:38:44,01:56:19,02:14:11,Berlin,2002
38,Jirka,Arndt,GER,SCC Berlin,02:21:31,M,00:15:44,00:31:40,00:47:23,01:03:29,01:07:00,01:19:39,01:36:32,01:54:22,02:12:58,Berlin,2002
39,Matthias,Körner,GER,SC DHfK Leipzig,02:21:48,M,00:16:29,00:32:59,00:49:25,01:06:09,01:09:46,01:22:37,01:39:19,01:56:22,02:13:52,Berlin,2002
